NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GSE13738_RESTING_VS_TCR_ACTIVATED_CD4_TCELL_UP	195	174		
GSE9650_EFFECTOR_VS_MEMORY_CD8_TCELL_DN	200	191		
BIOCARTA_IL1R_PATHWAY	31	28		
GOBP_LYMPHOCYTE_ANERGY	8		Rejected!	
REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING	140	130		
HALLMARK_HEDGEHOG_SIGNALING	36	30		
PID_TCR_JNK_PATHWAY	14		Rejected!	
GSE10239_NAIVE_VS_KLRG1HIGH_EFF_CD8_TCELL_UP	199	185		
AP1_01	271	213		
GOBP_REGULATION_OF_CD8_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	19	19		
GOBP_CD8_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	27	26		
GSE9650_EFFECTOR_VS_EXHAUSTED_CD8_TCELL_UP	200	192		
BIOCARTA_TCR_PATHWAY	44	43		
GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_ANERGY	5		Rejected!	
MATTHEWS_AP1_TARGETS	17	17		
GSE9650_EFFECTOR_VS_EXHAUSTED_CD8_TCELL_DN	200	164		
GSE9650_EFFECTOR_VS_MEMORY_CD8_TCELL_UP	199	194		
GSE13738_RESTING_VS_TCR_ACTIVATED_CD4_TCELL_DN	200	198		
